sym,cls,prior,first,t0,pair,short,btc,pl60,pl120,pl180
XAUUSDT,NEW,0,2025-12-11,2025-12-18,0.06722101369710554,-0.03464931635412319,0.10187033005122872,-0.013166794983357493,0.12835021144919234,0.04417248599915391
XBIUSDT,NEW,0,2026-07-09,2026-07-16,-0.032937773276710665,-0.0005176797946166297,-0.032420093482094035,,,
XCNUSDT,OLD_OTHER,1123,2025-04-11,2025-04-18,0.03772490577834606,-0.17323615535045472,0.21096106112880078,0.07501280130323935,0.20527132636403914,0.21104194920506977
XEMUSDT,OLD_BN,122,2021-03-03,2021-03-10,0.4415928239337235,0.4272544025114155,0.014338421422308026,0.08249005742554194,-0.10232753629521243,0.14779485700209188
XLEUSDT,NEW,0,2026-06-10,2026-06-17,-0.0743289457735693,-0.04045063018129085,-0.03387831559227845,0.08059438878155513,,
XMRUSDT,OLD_BN,339,2020-02-03,2020-02-10,0.1384968617502252,0.3987505722334967,-0.2602537104832715,0.04492217442842572,-0.04981594417599535,-0.09057455109559477
XNYUSDT,NEW,0,2025-08-13,2025-08-20,-0.5039965222167161,-0.49185692999999997,-0.012139592216716077,-0.49979942830292523,0.26646328518150497,-0.5207861325718969
XPDUSDT,NEW,0,2026-01-30,2026-02-06,0.09357783079244725,0.024819978391817925,0.06875785240062933,0.0804492653717063,-0.06831889043395142,0.20102647074354568
XPINUSDT,NEW,0,2025-09-12,2025-09-19,-0.5629097471648161,-0.48248336999999997,-0.08042637716481614,0.38582623687665096,-0.05485408976082448,-0.04367112319071824
XPLUSDT,NEW,0,2025-08-22,2025-08-29,-0.5292690016001809,-0.4920162800000002,-0.037252721600180685,0.22591009622336258,-0.4804348640408626,0.014691690400303034
XPTUSDT,NEW,0,2026-01-30,2026-02-06,0.0026930698857059315,-0.0660647825149234,0.06875785240062933,0.12975132834720604,-0.021818179671026006,0.10713438932378161
XTZUSDT,OLD_BN,158,2020-02-06,2020-02-13,0.0030674914987741664,0.4883245003862402,-0.48525700888746603,-0.3962410624965649,0.1715888930216522,0.03500841143672523
XVGUSDT,OLD_BN,764,2023-07-05,2023-07-12,0.3414885871314092,0.3868626403151862,-0.04537405318377695,-0.014456250432764217,0.18485418447805146,0.1946196887703222
XVSUSDT,OLD_BN,924,2023-04-13,2023-04-20,0.1723727088025464,0.24490595998504336,-0.07253325118249697,-0.14059948659369456,-0.13554462993941802,-0.23929815543613842
YALAUSDT,NEW,0,2025-08-07,2025-08-14,0.3746823304839088,0.4410338543309003,-0.0663515238469915,0.2131539764990878,0.31619265608952246,-0.5263665857197318
YBUSDT,NEW,0,2025-10-10,2025-10-17,0.09848975106368192,0.21971555234333387,-0.12122580127965195,0.12828148068243053,-0.010168979251877,-0.446240210887631
YFIIUSDT,NEW,0,2020-09-03,2020-09-10,-0.4809709183319,-0.5003000000000002,0.0193290816681002,-0.22033077133282747,-0.23036194453552014,0.08669684462187634
YFIUSDT,NEW,0,2020-08-31,2020-09-07,-0.510357369693745,-0.5202990499999998,0.009941680306254789,-0.3992474979474442,-0.046036468220501225,0.15970137512221505
YGGUSDT,OLD_BN,703,2023-08-05,2023-08-12,0.3049743283761954,0.43091627124526094,-0.12594194286906554,0.08218253410849755,-0.015454815232539124,-0.05068681175009687
ZAMAUSDT,NEW,0,2026-01-09,2026-01-16,0.4491398881711736,0.7214850279381444,-0.2723451397669708,-0.16846576074162198,-0.23030035396943446,-0.47753677822901586
ZBTUSDT,NEW,0,2025-10-17,2025-10-24,0.3152226967157948,0.551911044572665,-0.23668834785687026,-0.49832145192267613,0.06439328188035486,-0.4514263786033011
ZECUSDT,OLD_BN,341,2020-02-05,2020-02-12,0.12338710617227233,0.6881911163736264,-0.5648040102013541,-0.03466604928501499,-0.022557378607350874,0.12619167609802853
ZENUSDT,OLD_BN,146,2020-11-24,2020-12-01,0.7560119889925978,0.3107461472885391,0.44526584170405875,-0.049152930854172217,-0.40543274294117665,0.22911410937721788
ZEREBROUSDT,NEW,0,2025-01-02,2025-01-09,0.91536873380341,0.9073171101500537,0.008051623653356307,0.31573548077166186,0.4951977288522379,0.21323450230962568
ZESTUSDT,NEW,0,2026-06-04,2026-06-11,0.3254981466372381,0.28717132661225575,0.038326820024982354,0.7189093841099605,,
ZETAUSDT,NEW,0,2024-02-02,2024-02-09,-0.3986025658145494,-0.49948199,0.10087942418545058,0.15318545740887826,0.29885898032869745,-0.011011690820257977
ZHIPUUSDT,NEW,0,2026-07-17,2026-07-24,0.2056435489544687,0.027563547790176994,0.1780800011642917,,,
ZILUSDT,OLD_BN,503,2020-06-18,2020-06-25,0.1165674038181652,0.10080130868852447,0.015766095129640736,0.3132599200730287,0.284848244709337,-0.27022872439859247
ZKCUSDT,NEW,0,2025-09-15,2025-09-22,0.5775027578588611,0.6418132926414651,-0.06431053478260411,0.17569211740619334,-0.593932770871209,0.17431416834712285
ZKJUSDT,OLD_OTHER,420,2025-05-13,2025-05-20,0.7888266166579841,0.8002529586549708,-0.011426341996986628,-0.4951740565957447,0.36611609374953163,0.2697672565159594
ZKPUSDT,NEW,0,2025-12-21,2025-12-28,-0.08130786420666776,-0.08093692566289826,-0.0003709385437695005,0.1769495415933195,-0.4667891816553503,0.21408870283215187
ZKUSDT,NEW,0,2024-06-17,2024-06-24,-0.03422548832337813,-0.06990735238095233,0.0356818640575742,-0.04473976431393542,0.31769426605514656,0.16528128623331778
ZMUSDT,NEW,0,2026-06-10,2026-06-17,-0.04462018931437376,-0.010741873722095313,-0.03387831559227845,0.2839334431788344,,
ZORAUSDT,OLD_OTHER,93,2025-07-25,2025-08-01,-0.4939527267114703,-0.49757204,0.003619313288529725,-0.5189419052365044,0.15341539419736602,-0.11008464173811616
ZRCUSDT,OLD_OTHER,267,2025-07-29,2025-08-05,0.2583824979781849,0.2946448155243601,-0.036262317546175225,0.27770629275173986,0.5572408540579433,-0.27821848239172814
ZROUSDT,NEW,0,2024-06-20,2024-06-27,-0.47165989559050997,-0.50220828,0.03054838440948996,-0.1372655030599988,0.3563379036448711,0.21496069437473495
ZRXUSDT,OLD_BN,509,2020-06-24,2020-07-01,0.07971246656047759,-0.11618538473998802,0.1958978513004656,0.40236328784363307,0.4745680525469506,0.19968428382192982
