N,n,q,h,all,tune,hold,both
40,15,0.3333333333333333,10,15.040987310705756,17.951812856388315,8.948173118073989,True
40,15,0.3333333333333333,14,14.9272637440794,16.90207308222127,10.741348471451161,True
40,15,0.4,3,10.415491543081767,7.861127813399604,16.189434457502962,True
40,15,0.4,5,16.045279766947274,17.022138792033402,13.94607823601024,True
40,15,0.4,7,17.432994659265443,19.01908703427775,14.051684433735879,True
40,15,0.4,10,16.96021286141316,19.26922795155106,12.085324959164701,True
40,15,0.4,14,16.95795894664709,18.028628744933318,14.659827088585175,True
40,20,0.2,3,13.63525321252923,17.919978443880936,4.8353532011447875,True
40,20,0.2,5,15.968676781960255,21.453680375865346,4.865814207948382,True
40,20,0.2,7,14.777536657589874,18.872008298203834,6.342321922317362,True
40,20,0.2,10,12.313095088330384,15.070139763244693,6.535445721440469,True
40,20,0.2,14,11.55433983497538,14.368005104312598,5.664169487209292,True
40,20,0.25,3,13.862601020367649,15.768669542800207,9.819604227324419,True
40,20,0.25,5,17.775916338563967,21.26417472937401,10.522748515126978,True
40,20,0.25,7,15.746754493483884,18.560851464503326,9.84740416197023,True
40,20,0.25,10,12.320252516121233,13.721075438719698,9.329070783723758,True
40,20,0.25,14,12.336129867811895,13.048331843935035,10.800640749618218,True
40,20,0.3333333333333333,3,18.531369272955377,19.89755256942285,15.609828899821366,True
40,20,0.3333333333333333,5,24.922544023834092,31.65827049831842,11.422494483370048,True
40,20,0.3333333333333333,7,21.918729569055273,29.217734324507628,7.418563485493435,True
40,20,0.3333333333333333,10,17.936297679874812,23.118184066569825,7.39380251123285,True
40,20,0.3333333333333333,14,16.312308715257796,19.739851884560977,9.183753600370203,True
40,20,0.4,3,16.52756128997388,21.233609561167377,6.9015829492447445,True
40,20,0.4,5,26.302781829438395,34.69739624519155,9.787719883294276,True
40,20,0.4,7,27.924526681322504,36.28207312817937,11.454961654342522,True
40,20,0.4,10,24.26170465291775,30.020297784505768,12.588282710882925,True
40,20,0.4,14,20.20377417735302,23.700582329476518,12.92694442658866,True
40,30,0.2,3,14.218284762088839,19.078474253130718,4.3095543479664045,True
40,30,0.2,5,15.784670496907038,20.86832460890562,5.4415298887797725,True
40,30,0.2,7,14.144143544316258,18.69775141110268,4.823022408665345,True
40,30,0.2,10,10.80210803373507,13.903463782239767,4.337289930749355,True
40,30,0.2,14,10.003036842857306,12.473870920429198,4.808448592228998,True
40,30,0.25,3,16.83309168202807,23.264918671654613,3.9638752875660543,True
40,30,0.25,5,17.09264964761765,22.925927861582274,5.329392615396467,True
40,30,0.25,7,13.648051584277642,17.980237087268037,4.756265656390712,True
40,30,0.25,10,9.81572899849905,12.390871730517627,4.410112175249026,True
40,30,0.25,14,8.796814004426645,10.922997060157936,4.306540448368357,True
40,30,0.3333333333333333,3,32.81382578161431,45.10716949910554,9.526602281841745,True
40,30,0.3333333333333333,5,34.5919849872472,47.71920756156587,9.900750242087941,True
40,30,0.3333333333333333,7,27.603273646269777,38.93383742245731,6.023795689313927,True
40,30,0.3333333333333333,10,20.29282579189804,26.97223224995502,6.937686204526483,True
40,30,0.3333333333333333,14,15.170343779915596,19.932605575185946,5.443594764989279,True
40,30,0.4,3,32.144227113793924,41.42804657439716,13.981152193895863,True
40,30,0.4,5,34.49037699416269,46.50622226332337,11.623747173762533,True
40,30,0.4,7,32.61023951857061,44.620805670681186,9.793808618374666,True
40,30,0.4,10,23.659979980927282,31.71273763544491,7.786089093198045,True
40,30,0.4,14,17.602900791873232,23.92387888481644,4.930880828694817,True
60,10,0.2,3,9.08991482591106,9.63479674059462,7.912667028461184,True
60,10,0.2,5,11.841503676810294,14.534255362041538,6.194478621732213,True
60,10,0.2,7,9.667962189489,12.469845988621287,3.8054067306620754,True
60,10,0.2,10,8.084500058294243,8.605615688096746,6.958292178458136,True
60,10,0.2,14,8.20721799951456,8.834657915937626,6.853317923301083,True
60,10,0.25,3,8.189183758656448,7.863120959253234,8.902671395639604,True
60,10,0.25,5,12.37119359729839,14.277887419510705,8.328304672502341,True
60,10,0.25,7,12.225336947275167,14.158826231896594,8.127296303244979,True
60,10,0.25,10,9.696847341173642,9.130809433676301,10.939697973543726,True
60,10,0.25,14,9.798598314428553,9.373171922377498,10.730791781911474,True
60,10,0.3333333333333333,3,3.5102833019080792,2.6493467850661867,5.410227917373911,True
60,10,0.3333333333333333,5,7.713276559753646,9.019712275461123,4.922142134919372,True
