ts,bar,mkt_ret,eq_A_neutral@1x,eq_A_neutral@3x,eq_B_dispersion@1x,eq_B_dispersion@3x,eq_C_idxhedge@1x,eq_C_idxhedge@3x,eq_D_momsharpe@1x,eq_D_momsharpe@3x,eq_E_mom720@1x,eq_E_mom720@3x
2026-09-12 16:47:32,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 16:52:41,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 16:57:56,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 17:03:12,2026-09-12 16:00,-0.00304458,10011.3864,10034.0471,10000.0000,10000.0000,9999.5377,9998.5198,9996.0746,9988.0180,10014.9581,10044.6291
2026-09-12 17:08:30,2026-09-12 16:00,0.00000000,10011.4367,10034.1984,10000.0000,10000.0000,9999.6238,9998.7781,9996.1504,9988.2452,10014.9786,10044.6908
2026-09-12 17:13:46,2026-09-12 16:00,0.00000000,10011.4870,10034.3497,10000.0000,10000.0000,9999.7099,9999.0364,9996.2262,9988.4725,10014.9992,10044.7526
2026-09-12 17:19:02,2026-09-12 16:00,0.00000000,10011.5373,10034.5009,10000.0000,10000.0000,9999.7960,9999.2947,9996.3020,9988.6997,10015.0197,10044.8143
2026-09-12 17:24:18,2026-09-12 16:00,0.00000000,10011.5876,10034.6522,10000.0000,10000.0000,9999.8821,9999.5530,9996.3778,9988.9269,10015.0402,10044.8761
2026-09-12 17:29:34,2026-09-12 16:00,0.00000000,10011.6379,10034.8035,10000.0000,10000.0000,9999.9682,9999.8113,9996.4536,9989.1542,10015.0607,10044.9378
2026-09-12 17:34:51,2026-09-12 16:00,0.00000000,10011.6883,10034.9547,10000.0000,10000.0000,10000.0543,10000.0696,9996.5294,9989.3814,10015.0812,10044.9996
