t,close
2024-03-26 16:00:00,18.088
2024-03-27 00:00:00,18.719
2024-03-27 08:00:00,17.613
2024-03-27 16:00:00,17.709
2024-03-28 00:00:00,18.187
2024-03-28 08:00:00,17.576
2024-03-28 16:00:00,17.391
2024-03-29 00:00:00,16.89
2024-03-29 08:00:00,17.012
2024-03-29 16:00:00,17.224
2024-03-30 00:00:00,17.014
2024-03-30 08:00:00,16.927
2024-03-30 16:00:00,16.625
2024-03-31 00:00:00,16.587
2024-03-31 08:00:00,16.702
2024-03-31 16:00:00,17.088
2024-04-01 00:00:00,17.635
2024-04-01 08:00:00,17.347
2024-04-01 16:00:00,16.706
2024-04-02 00:00:00,15.515
2024-04-02 08:00:00,14.939
2024-04-02 16:00:00,14.715
2024-04-03 00:00:00,14.682
2024-04-03 08:00:00,14.332
2024-04-03 16:00:00,14.156
2024-04-04 00:00:00,14.205
2024-04-04 08:00:00,14.482
2024-04-04 16:00:00,14.165
2024-04-05 00:00:00,13.052
2024-04-05 08:00:00,13.256
2024-04-05 16:00:00,13.153
2024-04-06 00:00:00,13.265
2024-04-06 08:00:00,13.071
2024-04-06 16:00:00,13.225
2024-04-07 00:00:00,13.585
2024-04-07 08:00:00,13.606
2024-04-07 16:00:00,13.642
2024-04-08 00:00:00,13.677
2024-04-08 08:00:00,14.118
2024-04-08 16:00:00,14.274
2024-04-09 00:00:00,13.772
2024-04-09 08:00:00,13.263
2024-04-09 16:00:00,12.742
2024-04-10 00:00:00,12.266
2024-04-10 08:00:00,11.998
2024-04-10 16:00:00,12.228
2024-04-11 00:00:00,12.375
2024-04-11 08:00:00,12.077
2024-04-11 16:00:00,11.862
2024-04-12 00:00:00,11.962
2024-04-12 08:00:00,11.29
2024-04-12 16:00:00,9.775
2024-04-13 00:00:00,9.894
2024-04-13 08:00:00,9.897
2024-04-13 16:00:00,8.768
2024-04-14 00:00:00,9.468
2024-04-14 08:00:00,9.197
2024-04-14 16:00:00,9.577
2024-04-15 00:00:00,9.723
2024-04-15 08:00:00,9.488
2024-04-15 16:00:00,9.124
2024-04-16 00:00:00,9.147
2024-04-16 08:00:00,8.699
2024-04-16 16:00:00,9.246
2024-04-17 00:00:00,9.294
2024-04-17 08:00:00,9.006
2024-04-17 16:00:00,9.137
2024-04-18 00:00:00,8.97
2024-04-18 08:00:00,9.495
2024-04-18 16:00:00,9.489
2024-04-19 00:00:00,9.431
2024-04-19 08:00:00,9.531
2024-04-19 16:00:00,9.409
2024-04-20 00:00:00,9.798
2024-04-20 08:00:00,9.86
2024-04-20 16:00:00,10.236
2024-04-21 00:00:00,10.104
2024-04-21 08:00:00,9.907
2024-04-21 16:00:00,9.999
