t,oi,oiv
2026-08-24 17:35:00,635985.23,445278698.9322
2026-08-24 17:40:00,635877.18,446512955.796
2026-08-24 17:45:00,635633.46,445254882.3954
2026-08-24 17:50:00,635973.33,446589838.5977786
2026-08-24 17:55:00,636172.06,446639348.83813894
2026-08-24 18:00:00,636165.65,447218090.2935
2026-08-24 18:05:00,636137.86,448259858.91594297
2026-08-24 18:10:00,636152.62,447902336.6896
2026-08-24 18:15:00,636249.57,448491550.9303085
2026-08-24 18:20:00,636094.39,448656456.0987
2026-08-24 18:25:00,636141.65,447888251.5155
2026-08-24 18:30:00,636321.72,448257132.08447325
2026-08-24 18:35:00,635497.66,447314092.9208
2026-08-24 18:40:00,635464.52,446509144.978
2026-08-24 18:45:00,635605.59,447695153.3724
2026-08-24 18:50:00,635241.36,447313617.81601524
2026-08-24 18:55:00,635308.96,446685729.776
2026-08-24 19:00:00,635313.83,446796484.46487284
2026-08-24 19:05:00,635422.5,446613058.35
2026-08-24 19:10:00,635161.11,446124460.4418
2026-08-24 19:15:00,635685.73,447529110.7773
2026-08-24 19:20:00,635071.62,445540845.7272
2026-08-24 19:25:00,635547.32,446116085.8008
2026-08-24 19:30:00,635673.61,447339982.2991347
2026-08-24 19:35:00,635731.77,447106404.91168034
2026-08-24 19:40:00,635721.56,447401762.2812
2026-08-24 19:45:00,635669.45,446958260.3785
2026-08-24 19:50:00,635550.34,446544024.3874
2026-08-24 19:55:00,635561.44,446426602.2660877
2026-08-24 20:00:00,635674.78,446775848.0258862
2026-08-24 20:05:00,635528.68,445785237.2992
2026-08-24 20:10:00,635469.54,446970210.3498
2026-08-24 20:15:00,636088.11,447093348.52947664
2026-08-24 20:20:00,635579.21,446411806.14003295
2026-08-24 20:25:00,635193.3,445765236.0705495
2026-08-24 20:30:00,635070.01,445673375.54572976
2026-08-24 20:35:00,635190.19,446449776.9434
2026-08-24 20:40:00,635261.6,447344675.63986707
2026-08-24 20:45:00,634441.61,446184313.96032965
2026-08-24 20:50:00,634435.09,446204543.1479
2026-08-24 20:55:00,634512.21,446182640.9499
2026-08-24 21:00:00,634892.92,446615094.98203844
2026-08-24 21:05:00,634382.07,447430095.0547866
2026-08-24 21:10:00,634009.05,446665715.8155
2026-08-24 21:15:00,634104.96,447479874.2718649
2026-08-24 21:20:00,634139.75,446706783.10517675
2026-08-24 21:25:00,633952.79,446907850.9684085
2026-08-24 21:30:00,633847.65,446780193.0555
2026-08-24 21:35:00,633820.02,446550996.2516395
2026-08-24 21:40:00,633816.64,446688615.2064
2026-08-24 21:45:00,633715.99,446839481.7089
2026-08-24 21:50:00,633638.64,446746923.132
2026-08-24 21:55:00,633464.5,445886503.2179873
2026-08-24 22:00:00,633546.68,446282952.3256
2026-08-24 22:05:00,633100.37,445306637.45879406
2026-08-24 22:10:00,633109.13,445328962.042
2026-08-24 22:15:00,633187.24,445117965.9752
2026-08-24 22:20:00,633164.63,444804484.2213
2026-08-24 22:25:00,633017.53,444688484.6497
2026-08-24 22:30:00,633011.32,444746973.7858111
2026-08-24 22:35:00,633094.65,445288676.7047225
2026-08-24 22:40:00,633097.86,445238732.0022
2026-08-24 22:45:00,632793.82,444190130.1077492
2026-08-24 22:50:00,632798.32,444661051.4808
2026-08-24 22:55:00,632721.68,444491591.1972063
2026-08-24 23:00:00,632706.95,444012817.7316947
2026-08-24 23:05:00,632782.73,443983687.20156246
2026-08-24 23:10:00,632680.7,444008988.453
2026-08-24 23:15:00,632695.73,443920350.32375157
